ID da Dupla,Seção testada,"Na opinião de vocês, foi mais fácil implementar os casos de teste em qual framework?","Vocês utilizaram uma ferramenta de captura-replay, como o Cypress Scenario Recorder, para gerar os casos de teste em Cypress?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Cypress, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. ","Vocês utilizaram uma ferramenta de captura-replay, como o Selenium IDE, para gerar os casos de teste em Selenium?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Selenium, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. 
","Durante o desenvolvimento do casos de testes com Cypress vocês foram impactados por esse desafio?
","Durante o desenvolvimento do casos de testes com Selenium vocês foram impactados por esse desafio?
",Opnião
1.242,Exchange rates,cypress,Não,,não,,Não,não,"Ambos foram simples de rodar e de implementar, porém o cypres apresenta uma utilização mais simples e elegante precisando de menos escrita, além de possuir uma interface gráfica que auxilia saber qual componente pegar. Já o Selenium apresentou um problema ao iniciar necessitando colocar um tempo de espera para ser aberto o firefox"
2.242,shippments,cypress,Não,,não,,Não,sim,"Maysa: não tive nenhum ponto negativo exatamente com cypress, o maximo foi problema que as vezes ia executar o teste dava algum erro que não conseguia acessar a pagina de exemplo, só que isso causava erro no teste. De ponto positivo eu cito a facilidade que ele tem para fazer os testes, pois não sabia como eu podia acessar as interfaces, mas ele tem uma propia ferramenta para tal.
Fabio: Eu fiquei responsavel por fazer os testes no selenium, o meu primeiro impacto negativo com a ferramenta foi que precisei instalar o firefox para só dai eu conseguir ver os testes acontecendo, meu segundo impacto negativo foi referente que muitas vezes testes passavam em uma primeira execução mas ao rodar novamente falharam porque entre um passo e outro o navegador não carregou a pagina e não tina o elemento, então isso fazia eue ter o trabalho de ir lá e modificar o tempo do wait, entretanto no selenium tinha um problema que o teste não podia levar mais de 1000 ms, então foi muito jogo de cintura para fazer dar certo."
3.242,Tax Rate,cypress,Não,,não,,Sim,sim,"Utilizar o Cypress foi um desafio interessante, mas tivemos algumas dificuldades, como encontrar elementos na página com suas ferramentas (através das classes CSS) e lidar com erros de timeout, o que tornou o desenvolvimento mais demorado. Por outro lado, a sintaxe foi relativamente simples de aprender. Em termos de desempenho, percebemos que o Cypress rodou melhor em nossas máquinas, enquanto o Selenium travou com mais frequência e consumiu mais recursos, tornando a execução dos testes mais lenta. Além disso, o Selenium rodando em primeiro plano impactou o desempenho do computador, dificultando o uso simultâneo de outras aplicações."
4.242,Custumers,cypress,Não,,não,,Sim,sim,"Durante a elaboração dos testes o Cypress se mostrou muito mais simples de implementar, compreender e realizar manutenção. Já o Selenium se mostrou mais ""verborrágico"" e difícil de compreender, no entanto entendemos que o Selenium não é apenas um framework de testes mas também é utilizado como ferramenta de web scraping. De modo geral o Cypress foi o preferido pela dupla, pois além dos pontos já citados, existem bibliotecas que auxiliam ainda mais no desenvolvimento dos testes, como por exemplo a biblioteca Cypress-testing-library."
5.242,Attributes,cypress,Não,,não,,Sim,sim,"Cypress é muito mais simples de se criar testes e visualizar o passo a passo deles, entretanto, é bastante lento, podendo gerar até mesmo erros de teste por motivos de timeLimitExceeded mesmo que tenha passado anteriormente.
Selenium é bastante verborrágico e de difícil implementação, pois o mesmo possui problemas de legibilidade durante o período de codificação, ocorrendo problema para  entender o que é preciso fazer, por outro lado, é bem mais rápido de se executar do que o cypress, como também, tem um maior suporte para navegadores e funcionalidades especificas."
6.242,Orders,selenium,Sim,sim,sim,Sim,Sim,sim,"Selenium é mais amigavel, já que é mais parecido com o bom e velho JS puro, porém uma coisa que não é tao legal no selenium é que voce precisa ficar dando sleep para ver a execucao, com isso, é meio chato fazer isso. Dessa forma, o cypress é mais amigavel nesse sentido de mostrar a execucao, porem para fazer os testes é mais dificil"
7.242,Catalog promotions,cypress,Não,,não,,Sim,sim,"Pessoalmente achamos Cypress bem mais fácil de usar e mais ""user-friendly"", apesar de em alguns momentos falhando sem motivos e precisando ser executado novamente. O selenium por funcionar pelo terminal não é tão intuitivo pro usuário comparado com cypress, além de que tivemos muito mais problemas com testes falhando sem motivo no selenium, desde a ferramenta não conseguir abrir a página do localhost, não conseguir fazer login, etc."
8.242,Options,selenium,Não,,não,,Sim,sim,"As diferenças é que o cypress é visualmente atraente, com uma sintaxe mais simples e de fácil compreendimento, já o selenium é mais verborrágico e não tem visualização gráfica, isso impactou negativamente para entender os erros, mas possui eficiência na execução dos testes, pois foi mais rápido."
9.242,taxons,cypress,Não,,não,,Sim,sim,"O Cypress é uma ferramenta mais legível e fácil de implementar os testes, já o Selenium é necessário escrever mais linhas de código. Tive problema com  tempo de espera dos testes, 
se for executados cada um de uam vez passa todos sem problemas."
10.242,Locates,cypress,Não,,não,,Sim,sim,"O Cypress foi mais simples de trabalhar em comparação com o Selenium. No Cypress, os testes rodam mais rapidamente e sem problemas de sincronização. Já o Selenium, exigiu mais esforço na configuração e demorou mais para rodar os testes."
11.242,tax-categories,cypress,Não,,não,,Sim,sim,"Cypress é bem mais visivel de se trabalhar, mais intuitivo. Enquanto o Selenium deixa a desejar nessa parte. Mas as duas sao otimas ferramentas para testar"
12.242,Payments,cypress,Não,,não,,Não,sim,"Cypress é mais simples e rápido para começar, mas tem limitações em cenários mais complexos de navegação e suporte a navegadores.

Selenium oferece mais flexibilidade e controle, mas exige mais trabalho manual e atenção para evitar problemas de sincronização."
