ID da Dupla,Seção testada,Ferramenta,test_case_count,assertion_conformity,interaction_conformity,avg_assertions,total_locators,fragile_locator_rate,loc_class,css_outro,Xpath_relativo,smell_hard_coded,eslint_cy_wait_fixo,eslint_unsafe_chain,eslint_await_loop,eslint_no_only_test,eslint_no_unsed_var,max-lines-per-function,max-statements,linhas
1232,Association-types,Cypress,10,100%,80%,3.1,14,7%,7.1,,,,,3,,,,,,130
,,Selenium,10,100%,80%,3.1,18,83%,5.6%,16.7%,,,,,,,,1,,200
2232,payment-methods,Cypress,10,100%,90.9%,1.18,66,30%,30.3%,,,,,7,,,,,,212
,,Selenium,10,100%,100%,1.4,75,32%,22.7%,1.3%,,3,,,,,1,1,,281
3232,Exchange rates,Cypress,9,100%,90%,1.1,57,53%,38.6%,14%,,,,8,,,,,,175
,,Selenium,9,100%,100%,1.1,73,66%,30.1%,11%,9.6%,,,,,,1,1,1,220
4232,customers,Cypress,10,,9%,0,2,,,,,5,,,,,,,,73
,,Selenium,10,30%,65%,0.27,59,49%,27.1%,1.7%,3.4%,7,,,,,,,,135
5232,Taxons,Cypress,8,100%,100%,1.88,49,55%,30.6%,24.5%,,3,,26,,,,,,140
,,Selenium,8,60%,100%,1,73,41%,"1,40%",6.8%,24.7%,4,,,,2,,1,1,245
6232,Tax rates,Cypress,9,80%,90%,1.6,77,42%,28.6%,13%,,6,,3,,,,,,127
,,Selenium,10,100%,100%,1.91,151,35%,26.5%,,,9,,,,1,1,1,2,336
7232,Cart promotions,Cypress,9,100%,80%,1.8,70,11%,11.4%,,,,,3,,,,,,225
,,Selenium,9,100%,60%,1.2,69,55%,8.7%,30.4%,14.5%,,,,,,1,1,2,256
8232,Payments,Cypress,7,100%,80%,1.25,29,66%,58.6%,6.9%,,,,,,,,,,110
,,Selenium,7,100%,100%,1.25,45,62%,35.6%,13.3%,8.9%,,,,2,,,1,,196
9232,Products,Cypress,9,100%,90%,2.25,44,45%,38.6%,6.8%,,3,,6,,,,,,105
,,Selenium,9,100%,100%,1,73,47%,8.2%,37%,,10,,,,1,1,1,,184
10232,Attributes,Cypress,9,100%,100%,1.6,66,45%,27.3%,18.2%,,3,,8,,,1,,,131
,,Selenium,10,100%,100%,01.04,65,45%,27.7%,7.7%,,,,,,,,,,251
11232,"  
 	
Orders/Currencies",Cypress,10,100%,40%,1.6,42,20%,20%,,,,,1,,,,,,187
,,Selenium,10,100%,40%,1.33,44,82%,18.2%,27.3%,22.7%,,,1,,1,,2,,207
12232,Catalog promotions,Cypress,9,100%,100%,01.02,70,40%,40%,,,5,,,,,,,,208
,,Selenium,9,100%,100%,01.02,86,38%,30.2%,4.7%,2.3%,5,,,,,3,1,,248
13232,Countries,Cypress,9,100%,90%,1.9,124,37%,34.7%,2.4%,,1,15,,,,,,,210
,,Selenium,9,100%,90%,1.8,144,51%,25.7%,7.6%,6.2%,0,,,,,,1,5,305
14232,Association types,Cypress,9,100%,100%,1,74,46%,43.2%,2.7%,,5,,10,,,,,,155
,,Selenium,9,100%,100%,1,89,49%,28.1%,,13.5%,8,,,,,,3,1,305
15232,Product reviews,Cypress,9,80%,40%,0.8,43,26%,25.6%,,,,,,,,4,,,98
,,Selenium,9,100%,100%,1.14,50,46%,20%,16%,,,,,,1,1,1,,230
16233,Products,Cypress,7,100%,30%,3,44,50%,50%,,,7,,,,,,,,172
,,Selenium,1,50%,60%,1,8,62%,37.5%,12.5%,,,,,,1,1,1,,70
17232,Locales,Cypress,9,100%,70%,1.6,33,67%,60.6%,6.1%,,,,,,,,,,156
,,Selenium,9,100%,90%,1.5,67,69%,28.4%,23.9%,,,,,,,1,1,,200
,,Selenium,10,100%,100%,0.27,55,47%,27.3%,,3.6%,4,,,,,,1,,128
,,,"8,818181818",,,,,,,,,,,,,,,,,
