ID da Dupla,Seção testada,Ferramenta,test_case_count,assertion_conformity,interaction_conformity,avg_assertions,total_locators,fragile_locator_rate,loc_class,css_outro,Xpath_relativo,smell_hard_coded,eslint_cy_wait_fixo,eslint_unsafe_chain,eslint_await_loop,eslint_no_only_test,eslint_no_unsed_var,max-lines-per-function,max-statements,linhas
1.231,Association Types,Cypress,10,100%,100%,1,14,7%,7%,,,,,3,,,,,,110
,,Selenium,10,100%,54%,1,18,83%,5.6%,16.7%,,,,,,,,1,,220
2.231,Options ,Cypress,9,100%,60%,1.4,80,45%,45%,,,,,8,,,,,,222
,,Selenium,9,90%,85%,1.1,98,33%,15.3%,9.2,2%,,,,,,2,2,1,304
3.231,Exchange rates,Cypress,10,90.9%,90.9%,0.91,79,29%,29%,,,,,4,,,,,,109
,,Selenium,11,91.7%,91.7%,0.92,84,58%,28.6%,3.6%,13.1%,,,,,,1,1,,210
4.231,Product Review,Cypress,9,100%,80%,1.1,47,47%,47%,,,,,,,,,,,135
,,Selenium,9,100%,100%,1.1,65,63%,40%,23%,,,,,3,,,1,,211
5.231,Locates,Cypress,9,100%,80%,1.6,50,34%,34,,,,,2,,,,,,134
,,Selenium,9,90%,100%,1.2,62,50%,27.4%,14.5%,,,,,,,,3,,238
6.231,Countries,Cypress,9,100%,70%,1.2,76,34%,34%,,,,,,,,,,,236
,,Selenium,9,100%,90%,1.2,108,44%,20.4%,9.3%,7.4%,,,,,,,,,296
7.232,Orders/Currencies,Cypress,6,100%,66.7%,1.33,28,43%,43%,,,,,2,,,,,,125
,,Selenium,6,100%,66.7%,1.33,40,60%,35%,20%,5%,,,,,,1,3,,240
8.233,Zones,Cypress,8,100%,66.7%,1,47,51%,51%,,,,,,,,,,,89
,,Selenium,8,100%,0%,1,20,25%,15%,,5%,,,,,,,,,104
9.231,Groups,Cypress,10,100%,81.1%,1.82,66,59%,31.8%,27.3%,,2,,3,,,,,,196
,,Selenium,10,100%,72.7%,1.82,76,51%,26.3%,17.1%,,2,,,,,1,1,,270
10.231,shipments,Cypress,9,100%,100%,2.3,44,43%,43%,,,,,,,,,,,99
,,Selenium,8,100%,100%,2.22,38,58%,39.5%,13.2%,2.6%,1,,,2,1,5,1,,155
11.231,products,Cypress,9,80%,20%,0.89,24,33%,33%,,,,,,,,,,,70
,,Selenium,9,70%,20%,0.88,28,62%,37.5%,12.5%,,,,,,,,,,90
12.231,Customers,Cypress,9,100%,80%,01.06,56,56%,,,,8,,8,,,,,,177
,,Selenium,9,100%,80%,01.06,52,52%,21.2%,28.8%,,8,,,,,,1,,220
13.231,payment-methods,Cypress,9,100%,70%,1.3,65,35%,35%,,,1,,6,,,,,,214
,,Selenium,9,100%,80%,1.1,80,42%,30%,,,1,,,,,1,1,,245
14.231,products,Cypress,6,100%,83.3%,2,40,35%,35%,,,2,,,,,,,,100
,,Selenium,5,100%,100%,2,51,55%,29.4%,21.6%,,2,,,,,1,1,1,125
15.231,atributtes,Cypress,10,90.9%,63.3%,1,46,33%,33%,,,,,6,,,,,,228
,,Selenium,9,100%,90%,1.1,64,50%,26.6%,1.6%,15.6%,,,,,1,1,1,1,219
16.231,Taxons,Cypress,9,90%,50%,1.4,52,6%,1.9%,3.8%,,,,4,,,,,,160
,,Selenium,9,100%,70%,1,60,72%,1.7%,51.7%,1.7%,4,,,,,1,1,,230
17.231,Tax-rates ,Cypress,10,100%,90%,1.1,49,37%,37%,,,2,,3,,,,,,108
,,Selenium,10,100%,90%,1.1,74,38%,23%,,,2,,,,,1,1,,165
18.231,payments,Cypress,10,100%,100%,1.1,47,55%,55%,,,,,,,10,,,,130
,,Selenium,10,90%,100%,1,67,49%,26.9%,9%,1%,,,,,11,8,1,,193
19.231,Payment methods ,Cypress,10,100%,90%,1.6,67,31%,31%,,,,,,,,10,,,180
,,Selenium,10,100%,90%,1.6,91,38%,23.1%,,,,,,,,2,1,,230
20.231,Shipments,Cypress,10,90%,90%,1.0,33,30%,30%,,,,,,,,,,,93
,,Selenium,10,100%,90%,2.1,76,70%,28%,,25%,,,,,,,,,320
21.231,Shipping methods ,Cypress,11,81.9%,81.9%,0.91,82,5%,5%,,,1,,,,,4,,,165
,,Selenium,11,81.9%,90.9%,0.82,115,23%,5.2%,8.7%,,1,,,,1,,1,,205
22.231,Chanels ,Cypress,10,100%,90%,1.5,69,45%,33%,11%,,1,3,,,,,,,175
,,Selenium,7,100%,100%,1.29,60,63%,27%,18%,3%,1,,4,1,1,,1,,185
23.231,"Association types
",Cypress,7,100%,85%,1.29,48,40%,35%,4%,,5,,,,1,4,1,,85
,,Selenium,3,0%,33%,0,22,45%,27.3%,13.6%,,,,,,,,,,102
24.231,Tax categories,Cypress,10,100%,40%,1.1,70,41%,41,,,,,,,,,,,200
,,Selenium,10,100%,80%,1.1,89,43%,37%,,,,,,,,,,,229
